SPONSOR,CATEGORY,AIRDATE,AIRTIME,PROGRAM,AFFILIATION,TONE
"PRYOR, MARK",US SENATE,20130605,1711,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130605,0552,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130605,0609,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130605,1810,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130605,0512,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130605,1059,PRICE IS RIGHT-CBS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130605,1843,WHEEL OF FORTUNE,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130605,2022,MASTERCHEF-FOX,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130605,2221,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130605,0854,GOOD MORNING AMERICA,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130605,2158,FOX 16 NEWS AT 9:00PM,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130605,1816,KNWA 6 PM NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130605,1721,KNWA 5PM NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130605,0528,KNWA EARLY TODAY,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130605,0648,KNWA TODAY,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130605,2332,LATE SHOW/DAVID LTTRMN,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130605,0759,CBS THIS MORNING,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130605,2230,THV11 NEWS AT 10,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130605,0555,THV11 THIS MORNING,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130605,0620,THV11 THIS MORNING,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130605,1855,THV11 NEWS AT 6:30,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130605,1811,THV11 NEWS AT 6,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130605,1723,THV11 NEWS AT 5,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130605,1523,DR PHIL,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130605,1028,PRICE IS RIGHT-CBS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130606,1849,WHEEL OF FORTUNE,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130606,1826,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130606,1539,ELLEN DEGENERES SHOW,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130606,1615,JUDGE JUDY,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130606,0828,TODAY SHOW,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130606,0543,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130606,0638,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130606,1725,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130606,1841,ENTERTAINMENT TONIGHT,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130606,2306,TONIGHT SHOW/JAY LENO,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130606,1729,FAMILY FEUD,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130606,1058,VIEW-ABC,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130606,0841,GOOD MORNING AMERICA,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130606,1626,DR OZ SHOW,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130606,1843,WHEEL OF FORTUNE,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130606,0538,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130606,0637,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130606,2306,CHANNEL 7 NEWS NIGHTSIDE,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130606,1824,CHANNEL 7 NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130606,0510,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130606,2232,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130606,0611,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130606,0628,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130606,1721,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130606,1220,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130606,1827,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130606,0540,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130606,0859,CBS THIS MORNING,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130606,0813,CBS THIS MORNING,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130606,2116,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130606,0543,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130606,1721,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130606,2256,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130606,2137,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130606,0859,TODAY SHOW,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130606,0516,KNWA EARLY TODAY,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130606,1709,KNWA 5PM NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130606,2220,KNWA 10 PM NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130606,1532,DR PHIL,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130606,1828,THV11 NEWS AT 6,DEMOCRAT,POSITIVE
