DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
01/10/2016,13:50,MANHATTAN,10031,40.8272062,-73.9424538,"(40.8272062, -73.9424538)",WEST 150 STREET,SAINT NICHOLAS PLACE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3368017,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/10/2016,13:50,,,,,,RICHMOND AVENUE,SIGNS ROAD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3368449,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/10/2016,13:50,QUEENS,11418,40.6963815,-73.8170401,"(40.6963815, -73.8170401)",ATLANTIC AVENUE,132 STREET,,1,0,0,0,0,0,1,0,Prescription Medication,Unspecified,,,,3368827,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/10/2016,14:00,BROOKLYN,11223,40.6002427,-73.9645295,"(40.6002427, -73.9645295)",AVENUE T,EAST 7 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3369308,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/10/2016,14:00,MANHATTAN,10001,40.7515235,-73.9939473,"(40.7515235, -73.9939473)",WEST 33 STREET,8 AVENUE,,0,0,0,0,0,0,0,0,Lost Consciousness,Failure to Yield Right-of-Way,,,,3367971,LIVERY VEHICLE,LIVERY VEHICLE,,,
01/10/2016,14:00,,,,,,VETERANS ROAD WEST,ENGLEWOOD AVENUE,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3369041,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/10/2016,14:00,,,40.8050798,-73.9109118,"(40.8050798, -73.9109118)",,,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,,,,,3368029,PASSENGER VEHICLE,,,,
01/10/2016,14:00,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3369967,UNKNOWN,SPORT UTILITY / STATION WAGON,,,
01/10/2016,14:00,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3368396,SPORT UTILITY / STATION WAGON,,,,
01/10/2016,14:00,QUEENS,11102,40.7661526,-73.9197778,"(40.7661526, -73.9197778)",33 STREET,30 AVENUE,,1,0,1,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3369002,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/10/2016,14:15,BROOKLYN,11207,40.6612728,-73.8960539,"(40.6612728, -73.8960539)",ALABAMA AVENUE,NEWPORT STREET,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,,,3368197,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,
01/10/2016,14:20,BROOKLYN,11205,40.6898634,-73.9514645,"(40.6898634, -73.9514645)",LAFAYETTE AVENUE,NOSTRAND AVENUE,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3368781,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/10/2016,14:21,QUEENS,11358,40.7648414,-73.7958275,"(40.7648414, -73.7958275)",35 AVENUE,170 STREET,,0,0,0,0,0,0,0,0,Other Vehicular,Unspecified,,,,3368907,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/10/2016,14:24,BRONX,10470,40.903481,-73.8503406,"(40.903481, -73.8503406)",WHITE PLAINS ROAD,EAST 241 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3368058,OTHER,,,,
01/10/2016,14:25,QUEENS,11101,40.7511713,-73.9151941,"(40.7511713, -73.9151941)",48 STREET,37 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3369013,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/10/2016,14:25,QUEENS,11418,40.6947605,-73.8248086,"(40.6947605, -73.8248086)",123 STREET,ATLANTIC AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3368828,PASSENGER VEHICLE,UNKNOWN,,,
01/10/2016,14:25,,,40.6692204,-73.8010854,"(40.6692204, -73.8010854)",,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3368397,PASSENGER VEHICLE,,,,
01/10/2016,14:25,BROOKLYN,11213,40.6694023,-73.9421971,"(40.6694023, -73.9421971)",EASTERN PARKWAY,KINGSTON AVENUE,,1,0,0,0,0,0,1,0,Fatigued/Drowsy,Fatigued/Drowsy,,,,3369457,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/10/2016,14:30,BRONX,10460,40.8432084,-73.8792237,"(40.8432084, -73.8792237)",EAST 180 STREET,BRYANT AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3368649,PASSENGER VEHICLE,UNKNOWN,,,
01/10/2016,14:30,BROOKLYN,11207,40.6768941,-73.9000457,"(40.6768941, -73.9000457)",EAST NEW YORK AVENUE,ALABAMA AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3368207,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/10/2016,14:30,MANHATTAN,10013,40.7182736,-74.0053246,"(40.7182736, -74.0053246)",FRANKLIN STREET,CHURCH STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3367934,SPORT UTILITY / STATION WAGON,UNKNOWN,,,
01/10/2016,14:30,MANHATTAN,10038,40.7101767,-74.0011362,"(40.7101767, -74.0011362)",AVENUE OF THE FINEST,PEARL STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3371029,PASSENGER VEHICLE,,,,
01/10/2016,14:30,QUEENS,11420,40.6661202,-73.8222416,"(40.6661202, -73.8222416)",NORTH CONDUIT AVENUE,LEFFERTS BOULEVARD,,0,0,0,0,0,0,0,0,Physical Disability,Unspecified,,,,3368332,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/10/2016,14:30,STATEN ISLAND,10314,40.6130779,-74.122557,"(40.6130779, -74.122557)",VICTORY BOULEVARD,MANOR ROAD,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3369739,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/10/2016,14:30,,,40.7663065,-73.8928491,"(40.7663065, -73.8928491)",,,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3369011,PASSENGER VEHICLE,TAXI,,,
01/10/2016,14:30,,,40.6915381,-73.99911,"(40.6915381, -73.99911)",,,,2,0,0,0,0,0,2,0,Fatigued/Drowsy,Unspecified,,,,3368246,SPORT UTILITY / STATION WAGON,UNKNOWN,,,
01/10/2016,14:32,BRONX,10463,40.8695718,-73.9063185,"(40.8695718, -73.9063185)",KINGSBRIDGE TERRACE,HEATH AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3368081,PASSENGER VEHICLE,UNKNOWN,,,
01/10/2016,14:35,,,,,,HAMILTON AVENUE,SMITH STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3369452,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/10/2016,14:35,,,,,,FLATBUSH AVENUE,CORTELYOU ROAD,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3369382,SPORT UTILITY / STATION WAGON,,,,
01/10/2016,14:40,BROOKLYN,11207,40.6757357,-73.8968533,"(40.6757357, -73.8968533)",ATLANTIC AVENUE,PENNSYLVANIA AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3368202,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/10/2016,14:42,MANHATTAN,10036,40.7597902,-73.9879256,"(40.7597902, -73.9879256)",WEST 46 STREET,8 AVENUE,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3369107,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/10/2016,14:43,BRONX,10460,40.8396224,-73.8702747,"(40.8396224, -73.8702747)",EAST 180 STREET,EAST TREMONT AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3368079,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/10/2016,14:45,,,40.6781,-74.0023387,"(40.6781, -74.0023387)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3368216,PASSENGER VEHICLE,OTHER,,,
