DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
01/01/2016,5:46,QUEENS,11417,40.6750383,-73.8452293,"(40.6750383, -73.8452293)",133 AVENUE,SITKA STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3363562,PASSENGER VEHICLE,UNKNOWN,,,
01/01/2016,5:46,BROOKLYN,11221,40.6930211,-73.9370488,"(40.6930211, -73.9370488)",DEKALB AVENUE,LEWIS AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,3363838,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
01/01/2016,5:40,BROOKLYN,11203,40.6543385,-73.9470322,"(40.6543385, -73.9470322)",NEW YORK AVENUE,LENOX ROAD,,3,0,0,0,0,0,3,0,Unspecified,Unspecified,Unspecified,,,3363504,PASSENGER VEHICLE,UNKNOWN,PASSENGER VEHICLE,,
01/01/2016,5:30,,,40.7157218,-73.8257329,"(40.7157218, -73.8257329)",,,,2,0,0,0,0,0,2,0,Fatigued/Drowsy,Unspecified,,,,3364964,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/01/2016,5:30,BROOKLYN,11211,40.712796,-73.9586657,"(40.712796, -73.9586657)",ROEBLING STREET,SOUTH 1 STREET,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3363867,TAXI,SPORT UTILITY / STATION WAGON,,,
01/01/2016,5:30,BROOKLYN,11209,40.6204363,-74.0244658,"(40.6204363, -74.0244658)",86 STREET,FT HAMILTON PARKWAY,,0,0,0,0,0,0,0,0,Physical Disability,Unspecified,,,,3363505,SPORT UTILITY / STATION WAGON,UNKNOWN,,,
01/01/2016,5:20,QUEENS,11365,40.7406024,-73.8102426,"(40.7406024, -73.8102426)",PARSONS BOULEVARD,59 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,3363936,PASSENGER VEHICLE,UNKNOWN,SPORT UTILITY / STATION WAGON,,
01/01/2016,5:15,,,,,,FULTON STREET,LEWIS AVENUE,,1,0,0,0,0,0,1,0,Backing Unsafely,Backing Unsafely,,,,3363535,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/01/2016,5:10,MANHATTAN,10027,40.8102764,-73.9473705,"(40.8102764, -73.9473705)",7 AVENUE,WEST 127 STREET,,2,0,0,0,0,0,2,0,Lost Consciousness,Fatigued/Drowsy,,,,3363670,SPORT UTILITY / STATION WAGON,UNKNOWN,,,
01/01/2016,5:09,,,,,,AVENUE OF THE AMERICAS,BROOME STREET,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3363356,TAXI,PASSENGER VEHICLE,,,
